,caffe_pascucci,caffebene,tomandtoms,starbucks,hollys,twosome,yogerpresso,ediya,pop,income
191,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2680129.616,15326.0
192,1.0,2.0,0.0,1.0,1.0,1.0,8.0,6.0,3224482.2139999997,63909.0
193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2322761.58,13058.0
194,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2612878.07,56019.0
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2536208.361,23462.0
196,10.0,2.0,4.0,5.0,3.0,3.0,4.0,11.0,2418871.272,102364.0
197,1.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,2783128.4310000003,36688.0
198,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2401331.261,22291.0
199,5.0,1.0,2.0,4.0,1.0,6.0,11.0,14.0,2960404.084,116962.0
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553073.575,21762.0
201,4.0,3.0,3.0,5.0,2.0,13.0,7.0,13.0,3246119.653,123445.0
202,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2758048.9839999997,26635.0
203,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2277465.385,27312.0
204,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2400060.258,25885.0
205,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2559426.23,22774.0
206,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2434196.365,20142.0
207,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2490810.054,16095.0
208,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2447775.391,17815.0
209,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2291116.083,34794.0
210,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2359691.605,30003.0
211,4.0,3.0,1.0,6.0,2.0,8.0,1.0,8.0,2406601.577,115195.0
212,2.0,5.0,2.0,7.0,4.0,6.0,8.0,22.0,2809640.102,118441.0
213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2275261.48,16232.0
214,8.0,5.0,3.0,9.0,4.0,10.0,11.0,14.0,3015863.434,175669.0
215,0.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,2506243.4159999997,12890.0
216,0.0,1.0,0.0,2.0,2.0,2.0,1.0,3.0,2794686.019,65161.0
217,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2506243.4159999997,104767.0
218,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2447524.6859999998,35346.0
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2454787.373,16711.0
220,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2506243.4159999997,115257.0
221,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2436973.733,48381.0
222,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2156397.9269999997,22774.0
223,2.0,1.0,1.0,2.0,0.0,4.0,3.0,6.0,2675641.588,74589.0
224,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2247386.183,20099.0
225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2544638.098,8936.0
226,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,2644597.234,49030.0
227,1.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2380583.857,51319.0
228,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2788950.253,26415.0
